Site	Loc1	Loc2	P.Value	SE	switches
GreenLake-26	Sfo8-Upp	Cisco-18	1.000000	0.000000	770
GreenLake-26	Bwf-1	Cisco-18	1.000000	0.000000	3802
GreenLake-26	Bwf-2	Cisco-18	1.000000	0.000000	2479
GreenLake-26	C2-157	Cisco-18	1.000000	0.000000	744
GreenLake-26	Cocl23	Cisco-18	1.000000	0.000000	842
GreenLake-26	Cisco-59	Cisco-18	1.000000	0.000000	332
GreenLake-26	Cisco-90	Cisco-18	0.486400	0.021042	9139
GreenLake-26	Cisco-12	Cisco-18	No	contingency	table
GreenLake-26	Sfo8-Low	Cisco-20	1.000000	0.000000	2580
GreenLake-26	Sfo8-Upp	Cisco-20	1.000000	0.000000	762
GreenLake-26	Bwf-1	Cisco-20	1.000000	0.000000	3819
GreenLake-26	Bwf-2	Cisco-20	1.000000	0.000000	2531
GreenLake-26	C2-157	Cisco-20	1.000000	0.000000	716
GreenLake-26	Cocl23	Cisco-20	1.000000	0.000000	883
GreenLake-26	Cisco-59	Cisco-20	1.000000	0.000000	290
GreenLake-26	Cisco-90	Cisco-20	0.427950	0.020842	8978
GreenLake-26	Cisco-12	Cisco-20	No	contingency	table
GreenLake-26	Cisco-18	Cisco-20	1.000000	0.000000	191
GreenLake-26	Sfo8-Low	Cisco-18	0.459570	0.030934	3351
GreenLake-26	Sfo8-Upp	Cisco-18	0.495370	0.042752	1142
GreenLake-26	Bwf-1	Cisco-18	0.788070	0.019864	4991
GreenLake-26	Bwf-2	Cisco-18	0.968090	0.007721	3329
GreenLake-26	C2-157	Cisco-18	0.173130	0.029492	1096
GreenLake-26	Cocl23	Cisco-18	0.767720	0.034556	1309
GreenLake-26	Cisco-59	Cisco-18	1.000000	0.000000	523
GreenLake-26	Cisco-90	Cisco-18	0.184690	0.012727	10574
GreenLake-26	Cisco-12	Cisco-18	No	contingency	table
GreenLake-26	Cisco-18	Cisco-18	1.000000	0.000000	335
GreenLake-26	Cisco-20	Cisco-18	1.000000	0.000000	341
GreenLake-26	Sfo8-Low	Cisco-17	0.904530	0.008008	7175
GreenLake-26	Sfo8-Upp	Cisco-17	0.350720	0.025290	3371
GreenLake-26	Bwf-1	Cisco-17	0.656440	0.015664	8847
GreenLake-26	Bwf-2	Cisco-17	0.326070	0.020374	5957
GreenLake-26	C2-157	Cisco-17	0.425530	0.027834	2873
GreenLake-26	Cocl23	Cisco-17	0.271090	0.025404	3243
GreenLake-26	Cisco-59	Cisco-17	0.954970	0.013814	1854
GreenLake-26	Cisco-90	Cisco-17	0.160470	0.008986	15358
GreenLake-26	Cisco-12	Cisco-17	No	contingency	table
GreenLake-26	Cisco-18	Cisco-17	1.000000	0.000000	1425
GreenLake-26	Cisco-20	Cisco-17	1.000000	0.000000	1346
GreenLake-26	Cisco-18	Cisco-17	0.975760	0.009610	1938
GreenLake-26	Sfo8-Low	Cisco-10	0.478870	0.033824	2706
GreenLake-26	Sfo8-Upp	Cisco-10	1.000000	0.000000	793
GreenLake-26	Bwf-1	Cisco-10	1.000000	0.000000	3990
GreenLake-26	Bwf-2	Cisco-10	1.000000	0.000000	2566
GreenLake-26	C2-157	Cisco-10	1.000000	0.000000	759
GreenLake-26	Cocl23	Cisco-10	0.194030	0.035848	982
GreenLake-26	Cisco-59	Cisco-10	0.084640	0.027335	350
GreenLake-26	Cisco-90	Cisco-10	0.739110	0.017446	9353
GreenLake-26	Cisco-12	Cisco-10	No	contingency	table
GreenLake-26	Cisco-18	Cisco-10	1.000000	0.000000	192
GreenLake-26	Cisco-20	Cisco-10	1.000000	0.000000	205
GreenLake-26	Cisco-18	Cisco-10	1.000000	0.000000	345
GreenLake-26	Cisco-17	Cisco-10	0.485240	0.040596	1472
HarwoodLake-19	Sfo8-Low	Sfo8-Upp	0.435140	0.010402	12797
HarwoodLake-19	Sfo8-Low	Bwf-1	0.429980	0.004847	34946
HarwoodLake-19	Sfo8-Upp	Bwf-1	0.202260	0.003262	33659
HarwoodLake-19	Sfo8-Low	Bwf-2	0.432860	0.007091	27218
HarwoodLake-19	Sfo8-Upp	Bwf-2	0.400830	0.005747	26474
HarwoodLake-19	Bwf-1	Bwf-2	0.113330	0.002349	51525
HarwoodLake-19	Sfo8-Low	C2-157	0.464610	0.013767	10167
HarwoodLake-19	Sfo8-Upp	C2-157	0.251160	0.010343	10206
HarwoodLake-19	Bwf-1	C2-157	0.511620	0.005053	30319
HarwoodLake-19	Bwf-2	C2-157	0.780470	0.005718	22813
HarwoodLake-19	Sfo8-Low	Cocl23	0.018370	0.004258	6838
HarwoodLake-19	Sfo8-Upp	Cocl23	0.464140	0.013591	7816
HarwoodLake-19	Bwf-1	Cocl23	0.186970	0.004957	26332
HarwoodLake-19	Bwf-2	Cocl23	0.344410	0.008187	18196
HarwoodLake-19	C2-157	Cocl23	0.376480	0.016326	5899
HarwoodLake-19	Sfo8-Low	Cisco-59	0.212250	0.007198	20634
HarwoodLake-19	Sfo8-Upp	Cisco-59	0.817540	0.004241	19232
HarwoodLake-19	Bwf-1	Cisco-59	0.208910	0.002643	44829
HarwoodLake-19	Bwf-2	Cisco-59	0.710320	0.003441	37700
HarwoodLake-19	C2-157	Cisco-59	0.756930	0.006817	16626
HarwoodLake-19	Cocl23	Cisco-59	0.765480	0.007900	13544
HarwoodLake-19	Sfo8-Low	Cisco-90	0.406190	0.010663	15547
HarwoodLake-19	Sfo8-Upp	Cisco-90	0.303470	0.007772	14760
HarwoodLake-19	Bwf-1	Cisco-90	0.863700	0.002063	36164
HarwoodLake-19	Bwf-2	Cisco-90	0.448200	0.005912	29340
HarwoodLake-19	C2-157	Cisco-90	0.275950	0.009470	12454
HarwoodLake-19	Cocl23	Cisco-90	0.541170	0.013095	10172
HarwoodLake-19	Cisco-59	Cisco-90	0.004620	0.000737	21956
HarwoodLake-19	Sfo8-Low	Cisco-12	No	contingency	table
HarwoodLake-19	Sfo8-Upp	Cisco-12	No	contingency	table
HarwoodLake-19	Bwf-1	Cisco-12	No	contingency	table
HarwoodLake-19	Bwf-2	Cisco-12	No	contingency	table
HarwoodLake-19	C2-157	Cisco-12	No	contingency	table
HarwoodLake-19	Cocl23	Cisco-12	No	contingency	table
HarwoodLake-19	Cisco-59	Cisco-12	No	contingency	table
HarwoodLake-19	Cisco-90	Cisco-12	No	contingency	table
HarwoodLake-19	Sfo8-Low	Cisco-18	0.162270	0.018332	4290
HarwoodLake-19	Sfo8-Upp	Cisco-18	0.473850	0.018367	5383
HarwoodLake-19	Bwf-1	Cisco-18	0.033850	0.002973	22068
HarwoodLake-19	Bwf-2	Cisco-18	0.291810	0.010886	13444
HarwoodLake-19	C2-157	Cisco-18	0.278120	0.024158	3775
HarwoodLake-19	Cocl23	Cisco-18	0.669690	0.028890	2106
HarwoodLake-19	Cisco-59	Cisco-18	0.530190	0.013733	10131
HarwoodLake-19	Cisco-90	Cisco-18	0.927690	0.007698	7321
HarwoodLake-19	Cisco-12	Cisco-18	No	contingency	table
HarwoodLake-19	Sfo8-Low	Cisco-20	1.000000	0.000000	25761
HarwoodLake-19	Sfo8-Upp	Cisco-20	0.496050	0.005159	24797
HarwoodLake-19	Bwf-1	Cisco-20	0.541860	0.003386	50563
HarwoodLake-19	Bwf-2	Cisco-20	0.451550	0.003799	43894
HarwoodLake-19	C2-157	Cisco-20	0.833350	0.005337	21434
HarwoodLake-19	Cocl23	Cisco-20	0.142550	0.007224	17078
HarwoodLake-19	Cisco-59	Cisco-20	0.056300	0.002184	36186
HarwoodLake-19	Cisco-90	Cisco-20	0.111320	0.003688	27571
HarwoodLake-19	Cisco-12	Cisco-20	No	contingency	table
HarwoodLake-19	Cisco-18	Cisco-20	0.266030	0.014033	12419
HarwoodLake-19	Sfo8-Low	Cisco-18	0.522720	0.018880	5886
HarwoodLake-19	Sfo8-Upp	Cisco-18	0.586080	0.017072	6893
HarwoodLake-19	Bwf-1	Cisco-18	0.008710	0.001111	24792
HarwoodLake-19	Bwf-2	Cisco-18	0.947900	0.003608	16831
HarwoodLake-19	C2-157	Cisco-18	0.963090	0.006514	4978
HarwoodLake-19	Cocl23	Cisco-18	0.267650	0.022851	2858
HarwoodLake-19	Cisco-59	Cisco-18	0.118270	0.006967	12332
HarwoodLake-19	Cisco-90	Cisco-18	0.112920	0.008313	8954
HarwoodLake-19	Cisco-12	Cisco-18	No	contingency	table
HarwoodLake-19	Cisco-18	Cisco-18	0.551010	0.036934	1588
HarwoodLake-19	Cisco-20	Cisco-18	0.327450	0.008424	15600
HarwoodLake-19	Sfo8-Low	Cisco-17	0.253970	0.004864	37385
HarwoodLake-19	Sfo8-Upp	Cisco-17	0.839620	0.002167	36294
HarwoodLake-19	Bwf-1	Cisco-17	1.000000	0.000000	62950
HarwoodLake-19	Bwf-2	Cisco-17	0.536180	0.002779	54045
HarwoodLake-19	C2-157	Cisco-17	0.735220	0.004226	33498
HarwoodLake-19	Cocl23	Cisco-17	0.531090	0.007628	29309
HarwoodLake-19	Cisco-59	Cisco-17	0.657890	0.002558	47830
HarwoodLake-19	Cisco-90	Cisco-17	0.591650	0.004073	39663
HarwoodLake-19	Cisco-12	Cisco-17	No	contingency	table
HarwoodLake-19	Cisco-18	Cisco-17	0.331480	0.008923	24676
HarwoodLake-19	Cisco-20	Cisco-17	1.000000	0.000000	52842
HarwoodLake-19	Cisco-18	Cisco-17	0.902250	0.003669	27171
HarwoodLake-19	Sfo8-Low	Cisco-10	0.038690	0.008728	4143
HarwoodLake-19	Sfo8-Upp	Cisco-10	0.151690	0.013739	5353
HarwoodLake-19	Bwf-1	Cisco-10	0.351470	0.008124	21785
HarwoodLake-19	Bwf-2	Cisco-10	0.702020	0.012946	13300
HarwoodLake-19	C2-157	Cisco-10	0.855820	0.017212	3683
HarwoodLake-19	Cocl23	Cisco-10	0.503230	0.034624	1920
HarwoodLake-19	Cisco-59	Cisco-10	0.556290	0.014585	9998
HarwoodLake-19	Cisco-90	Cisco-10	0.237320	0.014174	6976
HarwoodLake-19	Cisco-12	Cisco-10	No	contingency	table
HarwoodLake-19	Cisco-18	Cisco-10	0.265190	0.037427	1025
HarwoodLake-19	Cisco-20	Cisco-10	0.761340	0.009802	12341
HarwoodLake-19	Cisco-18	Cisco-10	0.069290	0.019395	1460
HarwoodLake-19	Cisco-17	Cisco-10	0.163400	0.006423	24071
HowardLake-30	Sfo8-Low	Sfo8-Upp	0.884480	0.016471	4359
HowardLake-30	Sfo8-Low	Bwf-1	0.996960	0.001117	7779
HowardLake-30	Sfo8-Upp	Bwf-1	0.426850	0.024304	5541
HowardLake-30	Sfo8-Low	Bwf-2	0.821760	0.004687	28257
HowardLake-30	Sfo8-Upp	Bwf-2	0.384020	0.007218	24915
HowardLake-30	Bwf-1	Bwf-2	0.626090	0.005513	30922
HowardLake-30	Sfo8-Low	C2-157	0.200760	0.016688	8075
HowardLake-30	Sfo8-Upp	C2-157	0.645150	0.023173	5354
HowardLake-30	Bwf-1	C2-157	0.568570	0.015466	9610
HowardLake-30	Bwf-2	C2-157	0.919780	0.002352	34203
HowardLake-30	Sfo8-Low	Cocl23	No	contingency	table
HowardLake-30	Sfo8-Upp	Cocl23	No	contingency	table
HowardLake-30	Bwf-1	Cocl23	No	contingency	table
HowardLake-30	Bwf-2	Cocl23	No	contingency	table
HowardLake-30	C2-157	Cocl23	No	contingency	table
HowardLake-30	Sfo8-Low	Cisco-59	0.111720	0.009736	11184
HowardLake-30	Sfo8-Upp	Cisco-59	0.222350	0.014855	7804
HowardLake-30	Bwf-1	Cisco-59	0.209710	0.011251	13150
HowardLake-30	Bwf-2	Cisco-59	0.856900	0.002557	42557
HowardLake-30	C2-157	Cisco-59	0.731200	0.011953	13843
HowardLake-30	Cocl23	Cisco-59	No	contingency	table
HowardLake-30	Sfo8-Low	Cisco-90	0.342330	0.008721	24318
HowardLake-30	Sfo8-Upp	Cisco-90	0.258890	0.009735	20004
HowardLake-30	Bwf-1	Cisco-90	0.937220	0.002952	27076
HowardLake-30	Bwf-2	Cisco-90	0.878090	0.001462	59432
HowardLake-30	C2-157	Cisco-90	0.200340	0.007016	29842
HowardLake-30	Cocl23	Cisco-90	No	contingency	table
HowardLake-30	Cisco-59	Cisco-90	0.851500	0.003902	37658
HowardLake-30	Sfo8-Low	Cisco-12	No	contingency	table
HowardLake-30	Sfo8-Upp	Cisco-12	No	contingency	table
HowardLake-30	Bwf-1	Cisco-12	No	contingency	table
HowardLake-30	Bwf-2	Cisco-12	No	contingency	table
HowardLake-30	C2-157	Cisco-12	No	contingency	table
HowardLake-30	Cocl23	Cisco-12	No	contingency	table
HowardLake-30	Cisco-59	Cisco-12	No	contingency	table
HowardLake-30	Cisco-90	Cisco-12	No	contingency	table
HowardLake-30	Sfo8-Low	Cisco-18	0.450190	0.033088	2471
HowardLake-30	Sfo8-Upp	Cisco-18	0.341190	0.038160	1350
HowardLake-30	Bwf-1	Cisco-18	0.268460	0.025386	3409
HowardLake-30	Bwf-2	Cisco-18	0.724340	0.008982	20159
HowardLake-30	C2-157	Cisco-18	0.609520	0.032376	2995
HowardLake-30	Cocl23	Cisco-18	No	contingency	table
HowardLake-30	Cisco-59	Cisco-18	0.070450	0.013547	4541
HowardLake-30	Cisco-90	Cisco-18	0.463780	0.015687	14006
HowardLake-30	Cisco-12	Cisco-18	No	contingency	table
HowardLake-30	Sfo8-Low	Cisco-20	0.037090	0.008760	3767
HowardLake-30	Sfo8-Upp	Cisco-20	0.686540	0.033736	2109
HowardLake-30	Bwf-1	Cisco-20	0.642510	0.021449	4861
HowardLake-30	Bwf-2	Cisco-20	0.433220	0.008676	24283
HowardLake-30	C2-157	Cisco-20	0.233220	0.023797	4635
HowardLake-30	Cocl23	Cisco-20	No	contingency	table
HowardLake-30	Cisco-59	Cisco-20	0.869090	0.013232	6756
HowardLake-30	Cisco-90	Cisco-20	0.997860	0.000451	18476
HowardLake-30	Cisco-12	Cisco-20	No	contingency	table
HowardLake-30	Cisco-18	Cisco-20	1.000000	0.000000	948
HowardLake-30	Sfo8-Low	Cisco-18	0.611460	0.024057	4396
HowardLake-30	Sfo8-Upp	Cisco-18	0.759430	0.027983	2641
HowardLake-30	Bwf-1	Cisco-18	0.980120	0.004324	5355
HowardLake-30	Bwf-2	Cisco-18	0.813730	0.004569	25650
HowardLake-30	C2-157	Cisco-18	0.570660	0.025799	5388
HowardLake-30	Cocl23	Cisco-18	No	contingency	table
HowardLake-30	Cisco-59	Cisco-18	0.556240	0.022165	7849
HowardLake-30	Cisco-90	Cisco-18	0.277640	0.012121	20621
HowardLake-30	Cisco-12	Cisco-18	No	contingency	table
HowardLake-30	Cisco-18	Cisco-18	0.845640	0.028065	1284
HowardLake-30	Cisco-20	Cisco-18	0.488900	0.038663	2007
HowardLake-30	Sfo8-Low	Cisco-17	0.861720	0.009819	8912
HowardLake-30	Sfo8-Upp	Cisco-17	0.081880	0.009061	6862
HowardLake-30	Bwf-1	Cisco-17	0.076020	0.005942	9946
HowardLake-30	Bwf-2	Cisco-17	0.069540	0.002748	28890
HowardLake-30	C2-157	Cisco-17	0.609780	0.013163	10624
HowardLake-30	Cocl23	Cisco-17	No	contingency	table
HowardLake-30	Cisco-59	Cisco-17	0.060230	0.005578	14274
HowardLake-30	Cisco-90	Cisco-17	0.852330	0.003908	27037
HowardLake-30	Cisco-12	Cisco-17	No	contingency	table
HowardLake-30	Cisco-18	Cisco-17	0.296780	0.021774	4949
HowardLake-30	Cisco-20	Cisco-17	0.888890	0.009737	6388
HowardLake-30	Cisco-18	Cisco-17	0.416420	0.017338	7226
HowardLake-30	Sfo8-Low	Cisco-10	0.300690	0.031260	2353
HowardLake-30	Sfo8-Upp	Cisco-10	0.192810	0.033527	1288
HowardLake-30	Bwf-1	Cisco-10	0.234820	0.024370	3364
HowardLake-30	Bwf-2	Cisco-10	0.566890	0.011806	19896
HowardLake-30	C2-157	Cisco-10	0.935980	0.013669	2899
HowardLake-30	Cocl23	Cisco-10	No	contingency	table
HowardLake-30	Cisco-59	Cisco-10	0.449710	0.027828	4248
HowardLake-30	Cisco-90	Cisco-10	0.970910	0.003733	13933
HowardLake-30	Cisco-12	Cisco-10	No	contingency	table
HowardLake-30	Cisco-18	Cisco-10	0.287230	0.039865	529
HowardLake-30	Cisco-20	Cisco-10	1.000000	0.000000	854
HowardLake-30	Cisco-18	Cisco-10	1.000000	0.000000	1171
HowardLake-30	Cisco-17	Cisco-10	0.247840	0.019977	4843
LimeLake-32	Sfo8-Low	Sfo8-Upp	0.967120	0.004390	8318
LimeLake-32	Sfo8-Low	Bwf-1	0.928050	0.003921	19628
LimeLake-32	Sfo8-Upp	Bwf-1	0.659520	0.014866	10124
LimeLake-32	Sfo8-Low	Bwf-2	0.845050	0.007176	16690
LimeLake-32	Sfo8-Upp	Bwf-2	0.471760	0.023295	7024
LimeLake-32	Bwf-1	Bwf-2	0.675070	0.009321	18960
LimeLake-32	Sfo8-Low	C2-157	0.955630	0.006405	6248
LimeLake-32	Sfo8-Upp	C2-157	0.217930	0.033045	1677
LimeLake-32	Bwf-1	C2-157	0.482880	0.021747	7858
LimeLake-32	Bwf-2	C2-157	0.926160	0.010993	5127
LimeLake-32	Sfo8-Low	Cocl23	0.740890	0.022165	4601
LimeLake-32	Sfo8-Upp	Cocl23	0.677280	0.039049	1042
LimeLake-32	Bwf-1	Cocl23	0.895100	0.013026	6199
LimeLake-32	Bwf-2	Cocl23	0.049920	0.011937	3367
LimeLake-32	C2-157	Cocl23	0.747790	0.038387	673
LimeLake-32	Sfo8-Low	Cisco-59	0.985630	0.003738	7679
LimeLake-32	Sfo8-Upp	Cisco-59	0.443170	0.033737	2286
LimeLake-32	Bwf-1	Cisco-59	0.205260	0.014272	9640
LimeLake-32	Bwf-2	Cisco-59	0.109290	0.012559	6377
LimeLake-32	C2-157	Cisco-59	0.592730	0.039119	1479
LimeLake-32	Cocl23	Cisco-59	0.649460	0.041094	888
LimeLake-32	Sfo8-Low	Cisco-90	0.656420	0.005890	31668
LimeLake-32	Sfo8-Upp	Cisco-90	0.011340	0.002163	17826
LimeLake-32	Bwf-1	Cisco-90	0.203350	0.004994	34566
LimeLake-32	Bwf-2	Cisco-90	0.966200	0.001989	31751
LimeLake-32	C2-157	Cisco-90	0.787160	0.011008	14082
LimeLake-32	Cocl23	Cisco-90	0.394610	0.017619	11444
LimeLake-32	Cisco-59	Cisco-90	0.675700	0.009956	17050
LimeLake-32	Sfo8-Low	Cisco-12	0.736200	0.004626	17383
LimeLake-32	Sfo8-Upp	Cisco-12	0.673410	0.007729	8679
LimeLake-32	Bwf-1	Cisco-12	0.236490	0.004825	20643
LimeLake-32	Bwf-2	Cisco-12	1.000000	0.000000	17243
LimeLake-32	C2-157	Cisco-12	0.118690	0.007603	7121
LimeLake-32	Cocl23	Cisco-12	0.982580	0.003486	6473
LimeLake-32	Cisco-59	Cisco-12	0.505170	0.010621	8442
LimeLake-32	Cisco-90	Cisco-12	1.000000	0.000000	35836
LimeLake-32	Sfo8-Low	Cisco-18	0.122220	0.016229	4319
LimeLake-32	Sfo8-Upp	Cisco-18	0.492700	0.044048	895
LimeLake-32	Bwf-1	Cisco-18	0.635530	0.020583	6081
LimeLake-32	Bwf-2	Cisco-18	1.000000	0.000000	3256
LimeLake-32	C2-157	Cisco-18	1.000000	0.000000	572
LimeLake-32	Cocl23	Cisco-18	1.000000	0.000000	258
LimeLake-32	Cisco-59	Cisco-18	1.000000	0.000000	760
LimeLake-32	Cisco-90	Cisco-18	1.000000	0.000000	11331
LimeLake-32	Cisco-12	Cisco-18	0.453720	0.014167	6496
LimeLake-32	Sfo8-Low	Cisco-20	0.241050	0.020201	5704
LimeLake-32	Sfo8-Upp	Cisco-20	0.979420	0.009226	1412
LimeLake-32	Bwf-1	Cisco-20	0.746950	0.016774	7486
LimeLake-32	Bwf-2	Cisco-20	0.823730	0.020933	4612
LimeLake-32	C2-157	Cisco-20	1.000000	0.000000	953
LimeLake-32	Cocl23	Cisco-20	0.036420	0.015052	510
LimeLake-32	Cisco-59	Cisco-20	0.980600	0.010362	1205
LimeLake-32	Cisco-90	Cisco-20	0.125170	0.010173	13167
LimeLake-32	Cisco-12	Cisco-20	0.420080	0.014522	6885
LimeLake-32	Cisco-18	Cisco-20	1.000000	0.000000	412
LimeLake-32	Sfo8-Low	Cisco-18	0.138270	0.012805	7693
LimeLake-32	Sfo8-Upp	Cisco-18	0.781540	0.026233	2129
LimeLake-32	Bwf-1	Cisco-18	0.325790	0.016114	9661
LimeLake-32	Bwf-2	Cisco-18	0.852840	0.013127	6343
LimeLake-32	C2-157	Cisco-18	0.479340	0.039711	1329
LimeLake-32	Cocl23	Cisco-18	1.000000	0.000000	729
LimeLake-32	Cisco-59	Cisco-18	0.499490	0.036255	1809
LimeLake-32	Cisco-90	Cisco-18	0.602210	0.012077	17288
LimeLake-32	Cisco-12	Cisco-18	0.192390	0.007761	9165
LimeLake-32	Cisco-18	Cisco-18	1.000000	0.000000	616
LimeLake-32	Cisco-20	Cisco-18	0.462770	0.041753	1094
LimeLake-32	Sfo8-Low	Cisco-17	0.000440	0.000393	9382
LimeLake-32	Sfo8-Upp	Cisco-17	0.451280	0.026372	3768
LimeLake-32	Bwf-1	Cisco-17	0.693260	0.011386	11287
LimeLake-32	Bwf-2	Cisco-17	0.489710	0.017697	8353
LimeLake-32	C2-157	Cisco-17	0.930770	0.013728	2725
LimeLake-32	Cocl23	Cisco-17	0.264860	0.033513	2112
LimeLake-32	Cisco-59	Cisco-17	0.318060	0.025882	3430
LimeLake-32	Cisco-90	Cisco-17	0.152390	0.006046	19420
LimeLake-32	Cisco-12	Cisco-17	1.000000	0.000000	8962
LimeLake-32	Cisco-18	Cisco-17	0.511480	0.034162	1984
LimeLake-32	Cisco-20	Cisco-17	0.857900	0.020985	2537
LimeLake-32	Cisco-18	Cisco-17	0.567560	0.026456	3344
LimeLake-32	Sfo8-Low	Cisco-10	0.716690	0.027889	4037
LimeLake-32	Sfo8-Upp	Cisco-10	1.000000	0.000000	799
LimeLake-32	Bwf-1	Cisco-10	0.439660	0.025774	5498
LimeLake-32	Bwf-2	Cisco-10	1.000000	0.000000	3021
LimeLake-32	C2-157	Cisco-10	0.475030	0.048857	482
LimeLake-32	Cocl23	Cisco-10	1.000000	0.000000	207
LimeLake-32	Cisco-59	Cisco-10	1.000000	0.000000	658
LimeLake-32	Cisco-90	Cisco-10	0.454400	0.023505	10476
LimeLake-32	Cisco-12	Cisco-10	0.716970	0.015175	6213
LimeLake-32	Cisco-18	Cisco-10	1.000000	0.000000	163
LimeLake-32	Cisco-20	Cisco-10	1.000000	0.000000	380
LimeLake-32	Cisco-18	Cisco-10	1.000000	0.000000	496
LimeLake-32	Cisco-17	Cisco-10	0.927420	0.016552	1899
MurrayLake-23	Sfo8-Low	Sfo8-Upp	0.338950	0.013357	11320
MurrayLake-23	Sfo8-Low	Bwf-1	0.601000	0.012523	12807
MurrayLake-23	Sfo8-Upp	Bwf-1	0.684720	0.028222	2647
MurrayLake-23	Sfo8-Low	Bwf-2	0.240760	0.004816	30534
MurrayLake-23	Sfo8-Upp	Bwf-2	0.849140	0.007807	12068
MurrayLake-23	Bwf-1	Bwf-2	0.354360	0.010448	12889
MurrayLake-23	Sfo8-Low	C2-157	0.830260	0.007841	13343
MurrayLake-23	Sfo8-Upp	C2-157	0.483120	0.028466	2957
MurrayLake-23	Bwf-1	C2-157	0.174100	0.018571	3773
MurrayLake-23	Bwf-2	C2-157	0.024310	0.003034	13256
MurrayLake-23	Sfo8-Low	Cocl23	0.269140	0.014578	10964
MurrayLake-23	Sfo8-Upp	Cocl23	0.318160	0.029812	1967
MurrayLake-23	Bwf-1	Cocl23	0.842160	0.019576	2693
MurrayLake-23	Bwf-2	Cocl23	0.572380	0.014672	11232
MurrayLake-23	C2-157	Cocl23	0.339720	0.029195	3004
MurrayLake-23	Sfo8-Low	Cisco-59	0.212570	0.010612	10301
MurrayLake-23	Sfo8-Upp	Cisco-59	0.006080	0.004219	2299
MurrayLake-23	Bwf-1	Cisco-59	0.945390	0.012156	2730
MurrayLake-23	Bwf-2	Cisco-59	0.211190	0.012169	10259
MurrayLake-23	C2-157	Cisco-59	0.712300	0.025260	3002
MurrayLake-23	Cocl23	Cisco-59	0.224060	0.027053	2203
MurrayLake-23	Sfo8-Low	Cisco-90	1.000000	0.000000	27857
MurrayLake-23	Sfo8-Upp	Cisco-90	1.000000	0.000000	11138
MurrayLake-23	Bwf-1	Cisco-90	0.254620	0.007742	11191
MurrayLake-23	Bwf-2	Cisco-90	0.204920	0.003155	24299
MurrayLake-23	C2-157	Cisco-90	0.348430	0.007792	10899
MurrayLake-23	Cocl23	Cisco-90	0.569460	0.009253	9975
MurrayLake-23	Cisco-59	Cisco-90	1.000000	0.000000	8976
MurrayLake-23	Sfo8-Low	Cisco-12	0.270160	0.005126	42114
MurrayLake-23	Sfo8-Upp	Cisco-12	0.159460	0.007383	18297
MurrayLake-23	Bwf-1	Cisco-12	0.079180	0.006300	19841
MurrayLake-23	Bwf-2	Cisco-12	0.676930	0.003642	40891
MurrayLake-23	C2-157	Cisco-12	0.750770	0.007341	20319
MurrayLake-23	Cocl23	Cisco-12	0.049060	0.004728	17429
MurrayLake-23	Cisco-59	Cisco-12	0.465650	0.009313	16657
MurrayLake-23	Cisco-90	Cisco-12	0.328550	0.002716	38798
MurrayLake-23	Sfo8-Low	Cisco-18	0.458350	0.022182	6809
MurrayLake-23	Sfo8-Upp	Cisco-18	0.056590	0.020772	703
MurrayLake-23	Bwf-1	Cisco-18	0.257310	0.035481	1316
MurrayLake-23	Bwf-2	Cisco-18	0.244680	0.013543	8239
MurrayLake-23	C2-157	Cisco-18	0.431700	0.038351	1620
MurrayLake-23	Cocl23	Cisco-18	0.201670	0.035848	922
MurrayLake-23	Cisco-59	Cisco-18	0.129080	0.021646	1338
MurrayLake-23	Cisco-90	Cisco-18	0.686150	0.011777	8342
MurrayLake-23	Cisco-12	Cisco-18	0.532430	0.016336	12040
MurrayLake-23	Sfo8-Low	Cisco-20	0.205840	0.020453	6683
MurrayLake-23	Sfo8-Upp	Cisco-20	0.370170	0.042566	748
MurrayLake-23	Bwf-1	Cisco-20	0.193060	0.033237	1325
MurrayLake-23	Bwf-2	Cisco-20	1.000000	0.000000	8433
MurrayLake-23	C2-157	Cisco-20	0.798860	0.028861	1630
MurrayLake-23	Cocl23	Cisco-20	0.036640	0.018276	969
MurrayLake-23	Cisco-59	Cisco-20	0.919050	0.019965	1293
MurrayLake-23	Cisco-90	Cisco-20	0.696140	0.016534	8377
MurrayLake-23	Cisco-12	Cisco-20	0.501550	0.017290	12075
MurrayLake-23	Cisco-18	Cisco-20	0.036350	0.018177	300
MurrayLake-23	Sfo8-Low	Cisco-18	0.321980	0.015037	9974
MurrayLake-23	Sfo8-Upp	Cisco-18	0.494670	0.036908	1459
MurrayLake-23	Bwf-1	Cisco-18	0.034000	0.009981	2281
MurrayLake-23	Bwf-2	Cisco-18	0.765260	0.009786	10799
MurrayLake-23	C2-157	Cisco-18	0.790270	0.023846	2543
MurrayLake-23	Cocl23	Cisco-18	0.385530	0.033232	1763
MurrayLake-23	Cisco-59	Cisco-18	0.159140	0.023425	2054
MurrayLake-23	Cisco-90	Cisco-18	0.649610	0.008428	9768
MurrayLake-23	Cisco-12	Cisco-18	0.050910	0.004687	16363
MurrayLake-23	Cisco-18	Cisco-18	0.020160	0.010432	614
MurrayLake-23	Cisco-20	Cisco-18	0.291000	0.041559	661
MurrayLake-23	Sfo8-Low	Cisco-17	0.011810	0.001608	17461
MurrayLake-23	Sfo8-Upp	Cisco-17	0.424020	0.025617	3669
MurrayLake-23	Bwf-1	Cisco-17	0.369430	0.021277	5033
