Site	Loc1	Loc2	P.Value	SE	switches
BigManistiqueL	Cisco-18	Cisco-10	1.000000	0.000000	234
BigManistiqueL	Cisco-20	Cisco-10	1.000000	0.000000	508
BigManistiqueL	Cisco-18	Cisco-10	1.000000	0.000000	714
BigManistiqueL	Cisco-17	Cisco-10	0.995280	0.001795	4080
BrownsLake-31	Sfo8-Low	Sfo8-Upp	0.541100	0.018254	9359
BrownsLake-31	Sfo8-Low	Bwf-1	0.394870	0.007918	30910
BrownsLake-31	Sfo8-Upp	Bwf-1	0.014530	0.001833	27059
BrownsLake-31	Sfo8-Low	Bwf-2	0.351660	0.008132	20911
BrownsLake-31	Sfo8-Upp	Bwf-2	0.498670	0.009927	18508
BrownsLake-31	Bwf-1	Bwf-2	0.379120	0.004680	45465
BrownsLake-31	Sfo8-Low	C2-157	0.920490	0.006945	8663
BrownsLake-31	Sfo8-Upp	C2-157	0.123300	0.011821	6784
BrownsLake-31	Bwf-1	C2-157	0.344560	0.010172	24676
BrownsLake-31	Bwf-2	C2-157	0.068850	0.004475	16021
BrownsLake-31	Sfo8-Low	Cocl23	0.867640	0.004871	18349
BrownsLake-31	Sfo8-Upp	Cocl23	0.605910	0.011228	15489
BrownsLake-31	Bwf-1	Cocl23	0.968750	0.001334	39749
BrownsLake-31	Bwf-2	Cocl23	0.670480	0.006937	28913
BrownsLake-31	C2-157	Cocl23	0.539220	0.010815	13891
BrownsLake-31	Sfo8-Low	Cisco-59	0.482690	0.011006	15933
BrownsLake-31	Sfo8-Upp	Cisco-59	0.552870	0.012499	13520
BrownsLake-31	Bwf-1	Cisco-59	0.445570	0.005758	36505
BrownsLake-31	Bwf-2	Cisco-59	0.419000	0.005695	25621
BrownsLake-31	C2-157	Cisco-59	0.076600	0.005757	12072
BrownsLake-31	Cocl23	Cisco-59	0.356970	0.007867	23092
BrownsLake-31	Sfo8-Low	Cisco-90	No	contingency	table
BrownsLake-31	Sfo8-Upp	Cisco-90	No	contingency	table
BrownsLake-31	Bwf-1	Cisco-90	No	contingency	table
BrownsLake-31	Bwf-2	Cisco-90	No	contingency	table
BrownsLake-31	C2-157	Cisco-90	No	contingency	table
BrownsLake-31	Cocl23	Cisco-90	No	contingency	table
BrownsLake-31	Cisco-59	Cisco-90	No	contingency	table
BrownsLake-31	Sfo8-Low	Cisco-12	No	contingency	table
BrownsLake-31	Sfo8-Upp	Cisco-12	No	contingency	table
BrownsLake-31	Bwf-1	Cisco-12	No	contingency	table
BrownsLake-31	Bwf-2	Cisco-12	No	contingency	table
BrownsLake-31	C2-157	Cisco-12	No	contingency	table
BrownsLake-31	Cocl23	Cisco-12	No	contingency	table
BrownsLake-31	Cisco-59	Cisco-12	No	contingency	table
BrownsLake-31	Cisco-90	Cisco-12	No	contingency	table
BrownsLake-31	Sfo8-Low	Cisco-18	0.485260	0.032874	3149
BrownsLake-31	Sfo8-Upp	Cisco-18	0.313390	0.035858	1906
BrownsLake-31	Bwf-1	Cisco-18	1.000000	0.000000	13020
BrownsLake-31	Bwf-2	Cisco-18	0.180180	0.013173	9545
BrownsLake-31	C2-157	Cisco-18	0.971890	0.008018	2598
BrownsLake-31	Cocl23	Cisco-18	0.282890	0.021275	6648
BrownsLake-31	Cisco-59	Cisco-18	0.992780	0.003154	6118
BrownsLake-31	Cisco-90	Cisco-18	No	contingency	table
BrownsLake-31	Cisco-12	Cisco-18	No	contingency	table
BrownsLake-31	Sfo8-Low	Cisco-20	0.607290	0.023088	5172
BrownsLake-31	Sfo8-Upp	Cisco-20	0.458090	0.031639	3406
BrownsLake-31	Bwf-1	Cisco-20	0.439810	0.011979	18215
BrownsLake-31	Bwf-2	Cisco-20	0.901940	0.006462	12427
BrownsLake-31	C2-157	Cisco-20	0.407470	0.025619	3825
BrownsLake-31	Cocl23	Cisco-20	0.824080	0.011881	9714
